time,C1,TOCO,all_non_zero
2017-07-25 22:00:52.457,162,5,True
2017-07-25 22:00:52.457,162,5,True
2017-07-25 22:00:52.457,161,5,True
2017-07-25 22:00:52.457,161,5,True
2017-07-25 22:00:52.457,162,5,True
2017-07-25 22:00:52.457,162,5,True
2017-07-25 22:00:52.457,161,5,True
2017-07-25 22:00:52.457,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:53.455,161,5,True
2017-07-25 22:00:54.462,162,5,True
2017-07-25 22:00:54.462,163,5,True
2017-07-25 22:00:54.462,163,4,True
2017-07-25 22:00:54.462,163,4,True
2017-07-25 22:00:54.462,162,5,True
2017-07-25 22:00:54.462,163,5,True
2017-07-25 22:00:54.462,163,4,True
2017-07-25 22:00:54.462,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:55.454,163,4,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,3,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,4,True
2017-07-25 22:00:56.460,163,3,True
2017-07-25 22:00:57.452,163,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:57.452,163,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:57.452,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:58.457,162,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,161,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,162,3,True
2017-07-25 22:00:59.447,161,3,True
2017-07-25 22:01:00.455,161,3,True
2017-07-25 22:01:00.455,159,3,True
2017-07-25 22:01:00.455,158,3,True
2017-07-25 22:01:00.455,158,3,True
2017-07-25 22:01:00.455,161,3,True
2017-07-25 22:01:00.455,159,3,True
2017-07-25 22:01:00.455,158,3,True
2017-07-25 22:01:00.455,158,3,True
2017-07-25 22:01:01.449,157,3,True
2017-07-25 22:01:01.449,157,3,True
2017-07-25 22:01:01.449,157,2,True
2017-07-25 22:01:01.449,158,2,True
